code,name1,name2,last_name1,last_name2,email,cellphone,usertype_id
3913344,Yesid,,Díaz,Cano,ydiaz59@correo.ufpso.edu.co,3248756323,ES
1291384,Sara,Camila,Aguilar,Ramírez,saguilar1@ufpso.edu.co,3606482195,ES
8422814,Augusto,,Torres,Vargas,atorres34@correo.ufpso.edu.co,3865675437,ES
3458035,Sebastián,,Ruiz,Henao,sruiz25@ufpso.edu.co,3696387443,ES
6897187,Lorena,,Morales,Parra,lmorales9@ufpso.edu.co,3784162928,DO
9898338,Liliana,,Rojas,Nieto,lrojas52@ufpso.edu.co,3527470609,DO
1890509,Iván,Duván,Nieto,,inieto65@correo.ufpso.edu.co,3959421802,ES
9243410,Camila,,Valencia,,cvalencia99@correo.ufpso.edu.co,3253241967,ES
5559845,Marcela,Patricia,Rojas,Ríos,mrojas54@correo.ufpso.edu.co,3375790736,ES
9065051,Mario,Gustavo,Sandoval,Castro,msandoval59@ufpso.edu.co,3564673146,ES
8429454,Leidy,,Trujillo,Pacheco,ltrujillo25@correo.ufpso.edu.co,3644079517,ES
9638527,Daniel,Rodrigo,Muñoz,Quintero,dmunoz53@ufpso.edu.co,3699861793,ES
1435820,Gustavo,,Ortiz,Cardona,gortiz80@ufpso.edu.co,3758221539,DO
8535929,Laura,,Ochoa,Medina,lochoa15@ufpso.edu.co,3337803036,ES
6525677,Vanessa,,Castaño,Guerrero,vcastano50@correo.ufpso.edu.co,3303695601,ES
7747619,Natalia,,Pedraza,Pinto,npedraza65@correo.ufpso.edu.co,3401831991,DO
2032483,Gloria,Daniela,Torres,Quintero,gtorres34@ufpso.edu.co,3125071328,ES
2042377,Jhonatan,Diego,Rivera,García,jrivera16@correo.ufpso.edu.co,3540259413,DO
3577815,Paola,,Montoya,,pmontoya39@ufpso.edu.co,3549723997,DO
5775395,María,Claudia,Parra,,mparra65@ufpso.edu.co,3410371667,AD
4308100,Marcela,,Pinto,Trujillo,mpinto80@ufpso.edu.co,3877964422,DO
5825282,María,Yolanda,Torres,,mtorres72@ufpso.edu.co,3467784411,ES
9133274,Claudia,,Flores,Muñoz,cflores13@correo.ufpso.edu.co,3703359175,ES
5002408,Alejandra,Xiomara,Aguilar,Rivera,aaguilar75@ufpso.edu.co,3119990260,ES
5239167,Duván,Nicolás,Salazar,Mendoza,dsalazar64@correo.ufpso.edu.co,3657943409,ES
3812765,Alejandra,Tatiana,Mora,Pérez,amora24@correo.ufpso.edu.co,3514424473,ES
2212846,Cristian,,Salazar,Rodríguez,csalazar20@correo.ufpso.edu.co,3177380417,ES
9405944,Brayan,Andrés,Quintero,,bquintero31@correo.ufpso.edu.co,3221591471,ES
7341215,Felipe,,Lozano,,flozano41@ufpso.edu.co,3758842228,ES
9605653,Ricardo,Luis,Acosta,López,racosta41@correo.ufpso.edu.co,3160404167,ES
3106185,Luz,,Bermúdez,Henao,lbermudez75@correo.ufpso.edu.co,3247186044,ES
4036277,Yolanda,Marcela,Bermúdez,Rivera,ybermudez62@correo.ufpso.edu.co,3572184161,ES
1970340,Isabella,,Sánchez,García,isanchez52@ufpso.edu.co,3793700887,ES
7660100,Esperanza,Cindy,Sandoval,Cardona,esandoval84@ufpso.edu.co,3647759025,ES
1567846,Patricia,Xiomara,Medina,,pmedina16@correo.ufpso.edu.co,3175249250,ES
8880717,Xiomara,Tatiana,Guerrero,Mora,xguerrero76@ufpso.edu.co,3718149004,AD
6553278,Ana,Marisol,Ríos,,arios34@correo.ufpso.edu.co,3287213277,ES
2281751,Edison,Kevin,Guerrero,González,eguerrero88@correo.ufpso.edu.co,3609264504,ES
9211463,Natalia,,Ramírez,Flores,nramirez97@correo.ufpso.edu.co,3515955727,ES
1048357,Esperanza,,Valencia,Sandoval,evalencia16@correo.ufpso.edu.co,3317428968,DO
5437891,Alejandro,,Pacheco,Gutiérrez,apacheco60@ufpso.edu.co,3993727941,DO
1730508,Marcela,María,Valencia,Montoya,mvalencia5@ufpso.edu.co,3346425138,AD
5637134,María,Beatriz,Buitrago,Díaz,mbuitrago5@ufpso.edu.co,3983177835,ES
1565171,María,Adriana,Medina,Cruz,mmedina52@correo.ufpso.edu.co,3344277234,DO
3303399,Beatriz,,Herrera,Rojas,bherrera66@ufpso.edu.co,3848141247,ES
2654809,Viviana,Adriana,Morales,,vmorales7@ufpso.edu.co,3876422071,ES
8636720,Jorge,Brayan,Cruz,Castro,jcruz78@ufpso.edu.co,3119719777,ES
3189023,Lina,Sara,Valencia,Quintero,lvalencia36@ufpso.edu.co,3378322186,ES
4470830,Raúl,Miguel,Ospina,López,rospina94@correo.ufpso.edu.co,3520853393,AD
